Date,Open,High,Low,Close,Volume,Adj Close,TR,ATR,DM+1,DM-1,TR14,DM+14,DM-14,DI+14,DI-14,DI 14 Diff,DI 14 sum,DX,ADX,12 day SMA,12 day constant,12 day EMA,9 day SMA,9 day constant,9 day EMA,26 day SMA,26 day constant,26 day EMA,20 day SMA,20 day constant,20 day EMA,MACD,MACD SIGNAL,MACD Diff,TP,TP SMA 20,mean deviation,CCI,20 SMA,ST dev,Upper BB,Lower BB,bandwidth,KC Upper,KC lower,KC width,BB<KC,CCI cross,CCI above,DI cross,DI above,MA cross,MA above,CCI 3 cross,DI 3 cross,MA 3 cross,price>kc,Buy,Buy 2,Buy 3,Buy 4,modified 4,Modified count,sell,sell 2,sell 3,PRICE IN,Price in 2,Price in 3,Price in 4,PRICE OUT,Price out 2,Price out 3,1&4,4,2 & 4,"1,3,4",Sums,strength,uptrend 5,Volume,volume +
4/30/1999,30.84,31.34,30.59,30.9,88000,12.57,0.75,1.178,0,0.13,13.95070591,4.480661194,1.956890936,32.11780983,14.0271822,18.09062763,46.14499203,39.20388071,33.93288801,29.69833333,0.153846154,29.96033523,30.41888889,0.2,30.39185507,27.93384615,0.074074074,28.69772622,28.552,0.095238095,29.11090467,1.262609012,0.909126559,0.353482452,30.94333333,28.4775,1.669416667,98.47085642,28.552,1.935253472,32.42250694,24.68149306,7.741013887,31.46690467,26.75490467,4.712,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,sell,0,,,,,,30.66,,,0,0,0,0,0,,0,357633.5165,0
5/3/1999,30.66,30.66,29.91,30.53,116400,12.42,0.99,1.118,0,0.68,13.94422692,4.160613966,2.497113012,29.83753772,17.90786271,11.92967501,47.74540043,24.98601939,35.51818253,29.96666667,0.153846154,30.04797597,30.66777778,0.2,30.41948405,28.11230769,0.074074074,28.83345021,28.744,0.095238095,29.24605661,1.214525762,0.9702064,0.244319362,30.36666667,28.6715,1.703133333,66.35482314,28.744,1.931479744,32.60695949,24.88104051,7.725918974,31.48205661,27.01005661,4.472,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,sell,0,,,,,,30.78,,,0,0,0,0,0,,0,358949.4505,0
5/4/1999,30.78,33.07,30.78,32.76,276000,13.33,2.54,1.317,2.41,0,15.48821071,6.273427254,2.318747797,40.50453194,14.97105018,25.53348176,55.47558212,46.02652336,38.60637019,30.43083333,0.153846154,30.46521043,31.13555556,0.2,30.88758724,28.38115385,0.074074074,29.12430575,29.0475,0.095238095,29.58071788,1.340904688,1.044346057,0.29655863,32.20333333,28.946,1.809266667,120.0240736,29.0475,2.05766099,33.16282198,24.93217802,8.23064396,32.21471788,26.94671788,5.268,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,sell,,,,,,,32.76,0,0,0,0,0,,0,360087.9121,0
5/5/1999,32.76,32.88,31.65,32.63,270000,13.28,1.23,1.359,0,0,15.61190994,5.825325307,2.153122955,37.31334173,13.79154096,23.52180077,51.10488269,46.02652336,41.69455785,30.8075,0.153846154,30.79825498,31.45111111,0.2,31.23606979,28.63769231,0.074074074,29.3839868,29.335,0.095238095,29.8711257,1.414268181,1.118330482,0.295937698,32.38666667,29.21833333,1.881,112.2925158,29.335,2.134976581,33.60495316,25.06504684,8.539906323,32.5891257,27.1531257,5.436,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,,1,361441.7582,0
5/6/1999,32.63,32.63,31.77,32.2,103200,13.1,0.86,1.297,0,0,15.35677352,5.409230642,1.999328458,35.22374434,13.01919609,22.20454824,48.24294043,46.02652336,43.70379157,31.13333333,0.153846154,31.01390806,31.63,0.2,31.42885584,28.90153846,0.074074074,29.59258037,29.607,0.095238095,30.09292326,1.42132769,1.178929924,0.242397766,32.2,29.4945,1.895166667,95.17192859,29.607,2.13612289,33.87924578,25.33475422,8.544491559,32.68692326,27.49892326,5.188,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,sell,sell,,,,,,32.2,32.2,,0,0,0,0,0,,1,362719.7802,0
5/7/1999,32.2,32.88,32.2,32.45,183600,13.2,0.68,1.242,0.25,0,14.93986112,5.272857025,1.856519282,35.29388246,12.42661673,22.86726573,47.72049919,47.91916706,44.89364918,31.45833333,0.153846154,31.23484528,31.88444444,0.2,31.63308467,29.15115385,0.074074074,29.80424109,29.8735,0.095238095,30.31740676,1.430604198,1.229264778,0.201339419,32.51,29.76283333,1.90155,96.31324154,29.8735,2.141698567,34.15689713,25.59010287,8.566794266,32.80140676,27.83340676,4.968,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,sell,0,,,,,,32.33,,,0,0,0,0,0,,1,363890.6593,0
5/10/1999,32.33,32.33,31.21,31.52,108600,12.82,1.24,1.273,0,0.99,15.11272819,4.89622438,2.713910762,32.39801788,17.95778187,14.44023601,50.35579975,28.67641083,44.70902419,31.6025,0.153846154,31.27871524,31.77444444,0.2,31.61046773,29.35115385,0.074074074,29.93133434,30.084,0.095238095,30.43193945,1.347380901,1.252888003,0.094492898,31.68666667,29.991,1.820133333,62.10778209,30.084,2.085553644,34.25510729,25.91289271,8.342214574,32.97793945,27.88593945,5.092,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,sell,0,sell,,,,,31.27,,31.27,0,0,0,0,0,,0,364874.1758,0
5/11/1999,31.27,32.02,31.27,31.83,92800,12.95,0.75,1.107,0,0,14.7832476,4.546494068,2.520059993,30.75436595,17.0467279,13.70763806,47.80109385,28.67641083,44.9110416,31.70583333,0.153846154,31.36352828,31.76777778,0.2,31.65437419,29.54884615,0.074074074,30.07197624,30.356,0.095238095,30.56508807,1.291552041,1.260620811,0.03093123,31.70666667,30.24666667,1.659333333,58.65809562,30.356,1.935379549,34.2267591,26.4852409,7.741518197,32.77908807,28.35108807,4.428,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,sell,0,,,,,,31.83,,,0,0,0,0,0,,0,366675.2747,0
5/12/1999,31.83,32.02,31.27,31.71,112800,12.9,0.75,1.096,0,0,14.47730135,4.221744491,2.340055708,29.1611288,16.16361815,12.99751064,45.32474695,28.67641083,43.92660211,31.835,0.153846154,31.41683162,31.83666667,0.2,31.66549935,29.74192308,0.074074074,30.19331133,30.6005,0.095238095,30.6741273,1.223520289,1.253200706,-0.029680417,31.66666667,30.49016667,1.48915,52.6698676,30.6005,1.775504083,34.15150817,27.04949183,7.102016333,32.8661273,28.4821273,4.384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sell,0,sell,,,,,31.71,,31.71,0,0,0,0,0,,0,368030.2198,0
5/13/1999,31.71,31.83,30.78,31.03,66200,12.62,1.05,1.084,0,0.49,14.49320839,3.920191313,2.662908872,27.04847131,18.37349467,8.674976634,45.42196598,19.09863751,41.52657886,31.71166667,0.153846154,31.35731906,31.85111111,0.2,31.53839948,29.90153846,0.074074074,30.25528827,30.7865,0.095238095,30.70801994,1.102030793,1.222966724,-0.12093593,31.21333333,30.70183333,1.307466667,26.08097083,30.7865,1.608002721,34.00250544,27.57049456,6.432010883,32.87601994,28.54001994,4.336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sell,0,sell,,,,,31.21,,31.21,0,0,0,0,0,,0,368568.6813,0
