Date,Open,High,Low,Close,Volume,Adj Close
1992-02-26,267.999,267.999,267.999,267.999,000,31.311
1992-02-25,260.499,260.499,260.499,260.499,000,30.435
1992-02-24,260.001,260.001,260.001,260.001,000,30.377
1992-02-21,252.999,252.999,252.999,252.999,000,29.559
1992-02-20,252.00,252.00,252.00,252.00,000,29.442
1992-02-19,248.001,248.001,248.001,248.001,000,28.975
1992-02-18,247.50,247.50,247.50,247.50,000,28.916
1992-02-17,247.50,247.50,247.50,247.50,000,28.916
1992-02-14,249.00,249.00,249.00,249.00,000,29.091
1992-02-13,246.999,246.999,246.999,246.999,000,28.858
1992-02-12,246.999,246.999,246.999,246.999,000,28.858
1992-02-11,246.999,246.999,246.999,246.999,000,28.858
1992-02-10,246.00,246.00,246.00,246.00,000,28.741
1992-02-07,242.001,242.001,242.001,242.001,000,28.274
1992-02-06,243.999,243.999,243.999,243.999,000,28.507
1992-02-05,246.00,246.00,246.00,246.00,000,28.741
1992-02-04,246.999,246.999,246.999,246.999,000,28.858
1992-02-03,246.00,246.00,246.00,246.00,000,28.741
1992-01-31,246.00,246.00,246.00,246.00,000,28.741
1992-01-30,245.001,245.001,245.001,245.001,000,28.624
1992-01-29,248.001,248.001,248.001,248.001,000,28.975
1992-01-28,246.999,246.999,246.999,246.999,000,28.858
1992-01-27,249.00,249.00,249.00,249.00,000,29.091
1992-01-24,240.501,240.501,240.501,240.501,000,28.098
1992-01-23,233.001,233.001,233.001,233.001,000,27.222
1992-01-22,228.501,228.501,228.501,228.501,000,26.696
1992-01-21,227.499,227.499,227.499,227.499,000,26.579
1992-01-20,227.001,227.001,227.001,227.001,000,26.521
1992-01-17,230.001,230.001,230.001,230.001,000,26.872
1992-01-16,228.999,228.999,228.999,228.999,000,26.755
1992-01-15,228.00,228.00,228.00,228.00,000,26.638
1992-01-14,225.00,225.00,225.00,225.00,000,26.287
1992-01-13,221.001,221.001,221.001,221.001,000,25.82
1992-01-10,216.999,216.999,216.999,216.999,000,25.353
1992-01-09,216.999,216.999,216.999,216.999,000,25.353
1992-01-08,224.499,224.499,224.499,224.499,000,26.229
1992-01-07,225.00,225.00,225.00,225.00,000,26.287
1992-01-06,224.001,224.001,224.001,224.001,000,26.171
1992-01-03,225.00,225.00,225.00,225.00,000,26.287
1992-01-02,231.999,231.999,231.999,231.999,000,27.105
1992-01-01,227.001,227.001,227.001,227.001,000,26.521
1991-12-31,227.001,227.001,227.001,227.001,000,26.521
1991-12-30,216.999,216.999,216.999,216.999,000,25.353
1991-12-27,215.001,215.001,215.001,215.001,000,25.119
1991-12-26,213.00,213.00,213.00,213.00,000,24.885
1991-12-25,213.00,213.00,213.00,213.00,000,24.885
1991-12-24,213.00,213.00,213.00,213.00,000,24.885
1991-12-23,207.00,207.00,207.00,207.00,000,24.184
1991-12-20,209.001,209.001,209.001,209.001,000,24.418
1991-12-19,209.001,209.001,209.001,209.001,000,24.418
1991-12-18,213.00,213.00,213.00,213.00,000,24.885
1991-12-17,219.999,219.999,219.999,219.999,000,25.703
1991-12-16,222.00,222.00,222.00,222.00,000,25.937
1991-12-13,225.00,225.00,225.00,225.00,000,26.287
1991-12-12,231.999,231.999,231.999,231.999,000,27.105
1991-12-11,225.999,225.999,225.999,225.999,000,26.404
1991-12-10,225.00,225.00,225.00,225.00,000,26.287
1991-12-09,225.999,225.999,225.999,225.999,000,26.404
1991-12-06,228.999,228.999,228.999,228.999,000,26.755
1991-12-05,234.00,234.00,234.00,234.00,000,27.339
1991-12-04,237.00,237.00,237.00,237.00,000,27.689
1991-12-03,234.00,234.00,234.00,234.00,000,27.339
1991-12-02,233.001,233.001,233.001,233.001,000,27.222
1991-11-29,236.001,236.001,236.001,236.001,000,27.573
1991-11-28,227.001,227.001,227.001,227.001,000,26.521
1991-11-27,224.001,224.001,224.001,224.001,000,26.171
1991-11-26,225.00,225.00,225.00,225.00,000,26.287
1991-11-25,221.001,221.001,221.001,221.001,000,25.82
1991-11-22,213.00,213.00,213.00,213.00,000,24.885
1991-11-21,213.00,213.00,213.00,213.00,000,24.885
1991-11-20,213.999,213.999,213.999,213.999,000,25.002
1991-11-19,215.001,215.001,215.001,215.001,000,25.119
1991-11-18,221.001,221.001,221.001,221.001,000,25.82
1991-11-15,225.999,225.999,225.999,225.999,000,26.404
1991-11-14,228.00,228.00,228.00,228.00,000,26.638
1991-11-13,227.001,227.001,227.001,227.001,000,26.521
1991-11-12,234.999,234.999,234.999,234.999,000,27.456
1991-11-11,231.00,231.00,231.00,231.00,000,26.988
1991-11-08,230.001,230.001,230.001,230.001,000,26.872
1991-11-07,228.00,228.00,228.00,228.00,000,26.638
1991-11-06,230.001,230.001,230.001,230.001,000,26.872
1991-11-05,237.00,237.00,237.00,237.00,000,27.689
1991-11-04,237.00,237.00,237.00,237.00,000,27.689
1991-11-01,239.001,239.001,239.001,239.001,000,27.923
1991-10-31,234.00,234.00,234.00,234.00,000,27.339
1991-10-30,236.001,236.001,236.001,236.001,000,27.573
1991-10-29,230.001,230.001,230.001,230.001,000,26.872
1991-10-28,236.001,236.001,236.001,236.001,000,27.573
1991-10-25,231.999,231.999,231.999,231.999,000,27.105
1991-10-24,237.999,237.999,237.999,237.999,000,27.806
1991-10-23,242.001,242.001,242.001,242.001,000,28.274
1991-10-22,248.001,248.001,248.001,248.001,000,28.975
1991-10-21,248.001,248.001,248.001,248.001,000,28.975
1991-10-18,251.001,251.001,251.001,251.001,000,29.325
1991-10-17,252.999,252.999,252.999,252.999,000,29.559
1991-10-16,252.00,252.00,252.00,252.00,000,29.442
1991-10-15,248.001,248.001,248.001,248.001,000,28.975
1991-10-14,247.50,247.50,247.50,247.50,000,28.916
1991-10-11,246.999,246.999,246.999,246.999,000,28.858
1991-10-10,251.001,251.001,251.001,251.001,000,29.325
1991-10-09,248.001,248.001,248.001,248.001,000,28.975
1991-10-08,251.001,251.001,251.001,251.001,000,29.325
1991-10-07,252.00,252.00,252.00,252.00,000,29.442
1991-10-04,260.001,260.001,260.001,260.001,000,30.377
1991-10-03,263.001,263.001,263.001,263.001,000,30.727
1991-10-02,260.001,260.001,260.001,260.001,000,30.377
1991-10-01,255.999,255.999,255.999,255.999,000,29.909
1991-09-30,249.00,249.00,249.00,249.00,000,29.091
1991-09-27,243.999,243.999,243.999,243.999,000,28.507
1991-09-26,248.001,248.001,248.001,248.001,000,28.975
1991-09-25,255.999,255.999,255.999,255.999,000,29.909
1991-09-24,254.001,254.001,254.001,254.001,000,29.676
1991-09-23,255.999,255.999,255.999,255.999,000,29.909
1991-09-20,255.00,255.00,255.00,255.00,000,29.792
1991-09-19,258.00,258.00,258.00,258.00,000,30.143
1991-09-18,258.999,258.999,258.999,258.999,000,30.26
1991-09-17,266.001,266.001,266.001,266.001,000,31.078
1991-09-16,279.999,279.999,279.999,279.999,000,32.713
1991-09-13,282.00,282.00,282.00,282.00,000,32.947
1991-09-12,281.001,281.001,281.001,281.001,000,32.83
1991-09-11,279.999,279.999,279.999,279.999,000,32.713
1991-09-10,279.00,279.00,279.00,279.00,000,32.596
1991-09-09,282.00,282.00,282.00,282.00,000,32.947
1991-09-06,284.001,284.001,284.001,284.001,000,33.181
1991-09-05,285.00,285.00,285.00,285.00,000,33.297
1991-09-04,282.00,282.00,282.00,282.00,000,32.947
1991-09-03,275.001,275.001,275.001,275.001,000,32.129
1991-09-02,270.999,270.999,270.999,270.999,000,31.662
1991-08-30,268.50,268.50,268.50,268.50,000,31.37
1991-08-29,267.999,267.999,267.999,267.999,000,31.311
1991-08-28,270.999,270.999,270.999,270.999,000,31.662
1991-08-27,266.001,266.001,266.001,266.001,000,31.078
1991-08-26,272.001,272.001,272.001,272.001,000,31.779
1991-08-23,272.001,272.001,272.001,272.001,000,31.779
1991-08-22,270.999,270.999,270.999,270.999,000,31.662
