"state.index","resources.allocated","latency"
80,0,0
80,0,0
81,0,0
81,0,0
81,0,0
81,0,0
81,0,0
82,0,0
82,0,0
82,0,0
82,0,0
82,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
83,0,0
84,0,140
84,0,4
84,0,25
84,0,105
84,1427.03911600403,326
84,0,38
85,0,0
85,0,0
85,0,0
85,0,0
85,0,0
85,0,0
86,0,47
86,0,3
86,0,38
86,0,89
86,0,25
86,0,18
87,0,0
87,0,0
87,0,0
87,0,0
87,0,0
87,0,0
87,0,0
88,0,94
88,0,41
88,0,78
88,0,74
89,0,0
89,0,0
89,0,0
89,0,0
90,0,24
90,1373.24479327017,439
90,0,30
90,0,58
90,0,91
91,0,0
91,0,0
91,0,0
91,0,0
91,0,0
91,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
92,0,0
93,0,54
93,0,21
93,0,6
93,0,57
93,0,75
93,0,67
93,0,57
94,0,0
94,0,0
94,0,0
94,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
95,0,0
96,0,0
96,0,0
96,0,0
96,0,0
96,0,0
96,0,0
96,0,0
97,0,51
97,0,219
97,0,130
97,0,26
97,0,23
97,0,69
97,0,85
97,0,89
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
98,0,0
99,0,0
99,0,0
99,0,0
99,0,0
99,0,0
99,0,0
99,0,0
100,0,109
100,0,46
100,1345.71720455832,301
100,0,100
100,0,46
100,0,42
100,1340.63483906153,454
100,1342.32410820658,480
100,1337.41954722532,488
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
101,0,0
102,0,0
102,0,0
102,0,0
102,0,0
102,0,0
102,0,0
102,0,0
103,0,0
103,0,0
103,0,0
103,0,0
103,0,0
103,0,0
104,0,0
104,0,0
104,0,0
104,0,0
104,0,0
104,0,0
105,0,29
105,1320.83368296905,386
105,0,20
105,0,143
105,0,57
105,0,45
105,0,49
106,0,0
106,0,0
106,0,0
106,0,0
107,0,0
107,0,0
107,0,0
108,0,98
108,1311.18645000849,343
108,0,3
108,0,67
109,0,0
109,0,0
109,0,0
109,0,0
109,0,0
109,0,0
109,0,0
110,0,0
110,0,0
110,0,0
110,0,0
110,0,0
110,0,0
110,0,0
110,0,0
110,0,0
111,0,34
111,0,44
111,0,69
112,0,74
112,0,53
112,0,100
112,0,112
112,0,23
112,0,46
112,0,55
112,0,34
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
113,0,0
114,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
115,0,0
116,0,99
116,1274.84757839569,356
116,0,26
116,0,57
116,0,35
116,0,141
116,0,70
116,0,43
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
118,0,0
118,0,0
118,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
119,0,0
119,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
120,0,0
120,0,0
121,0,33
121,0,54
